event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
Michigan-4,Michigan,2015-12-24 03:00:00,2015-12-26 00:00:00,Severe Weather,26129,Michigan,Ogemaw,2015-12-24 08:15:00,108.25,2015-12-28 20:30:00,231,9196,3456.482678983834
Michigan-4,Michigan,2015-12-24 03:00:00,2015-12-26 00:00:00,Severe Weather,26129,Michigan,Ogemaw,2015-12-24 08:15:00,108.25,2015-12-28 20:30:00,231,9196,3456.482678983834
Michigan-4,Michigan,2015-12-24 03:00:00,2015-12-26 00:00:00,Severe Weather,26129,Michigan,Ogemaw,2015-12-24 08:15:00,108.25,2015-12-28 20:30:00,231,9196,3456.482678983834
Michigan-4,Michigan,2015-12-24 03:00:00,2015-12-26 00:00:00,Severe Weather,26129,Michigan,Ogemaw,2015-12-24 08:15:00,108.25,2015-12-28 20:30:00,231,9196,3456.482678983834
Michigan-4,Michigan,2015-12-24 03:00:00,2015-12-26 00:00:00,Severe Weather,26129,Michigan,Ogemaw,2015-12-24 08:15:00,108.25,2015-12-28 20:30:00,231,9196,3456.482678983834
Michigan-4,Michigan,2015-12-24 03:00:00,2015-12-26 00:00:00,Severe Weather,26129,Michigan,Ogemaw,2015-12-24 08:15:00,108.25,2015-12-28 20:30:00,231,9196,3456.482678983834
Michigan-4,Michigan,2015-12-24 03:00:00,2015-12-26 00:00:00,Severe Weather,26129,Michigan,Ogemaw,2015-12-24 08:15:00,108.25,2015-12-28 20:30:00,231,9196,3456.482678983834
South Carolina-4,South Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,45013,South Carolina,Beaufort,2016-10-08 22:30:00,185.0,2016-10-16 15:30:00,244,47719,17065.764864864865
South Carolina-4,South Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,45033,South Carolina,Dillon,2016-10-08 22:30:00,173.0,2016-10-16 03:30:00,852,10353,6053.202312138728
South Carolina-4,South Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,45089,South Carolina,Williamsburg,2016-10-08 22:30:00,165.25,2016-10-15 19:45:00,305,6579,3317.3419062027233
South Carolina-4,South Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,45041,South Carolina,Florence,2016-10-08 22:30:00,163.75,2016-10-15 18:15:00,348,48077,22731.52824427481
Georgia-2,Georgia,2016-10-07 16:22:00,2016-10-12 11:00:00,Severe Weather,13051,Georgia,Chatham,2016-10-08 22:30:00,153.0,2016-10-15 07:30:00,214,114943,46272.709150326795
South Carolina-4,South Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,45053,South Carolina,Jasper,2016-10-08 22:30:00,149.75,2016-10-15 04:15:00,220,6681,3064.2621035058432
South Carolina-4,South Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,45031,South Carolina,Darlington,2016-10-08 22:30:00,143.5,2016-10-14 22:00:00,209,20197,8451.080139372822
North Carolina-3,North Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,37125,North Carolina,Moore,2016-10-08 22:30:00,142.5,2016-10-14 21:00:00,313,20868,8049.078947368421
North Carolina-3,North Carolina,2016-10-08 08:21:00,2016-10-13 17:30:00,Severe Weather,37107,North Carolina,Lenoir,2016-10-08 22:30:00,141.25,2016-10-14 19:45:00,289,10490,3913.3964601769912
