system:index,base_valid_px,cloud_frac,cloudy_px,county,date,event_id,img_exists,.geo
77,11225.623529411798,0.843429981967025,9468.027450980404,Dallas,2021-02-14,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,11225.623529411798,0.9963476416349989,11184.623529411798,Dallas,2021-02-15,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,11225.623529411798,0.0049319938208594065,55.36470588235295,Dallas,2021-02-16,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,11225.623529411798,1.0,11225.623529411798,Dallas,2021-02-17,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,11225.623529411798,0.843429981967025,9468.027450980404,Dallas,2021-02-14,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,11225.623529411798,0.9963476416349989,11184.623529411798,Dallas,2021-02-15,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,11225.623529411798,0.0049319938208594065,55.36470588235295,Dallas,2021-02-16,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,11225.623529411798,1.0,11225.623529411798,Dallas,2021-02-17,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,11225.623529411798,0.0016593689367532351,18.627450980392155,Dallas,2021-02-19,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,11225.623529411798,0.0011580648474393631,13.0,Dallas,2021-02-20,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,11225.623529411798,0.00412816057381326,46.34117647058823,Dallas,2021-02-21,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,11225.623529411798,0.0016593689367532351,18.627450980392155,Dallas,2021-02-19,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,11225.623529411798,0.0011580648474393631,13.0,Dallas,2021-02-20,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,11225.623529411798,0.00412816057381326,46.34117647058823,Dallas,2021-02-21,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,11225.623529411798,0.0016593689367532351,18.627450980392155,Dallas,2021-02-19,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,11225.623529411798,0.0011580648474393631,13.0,Dallas,2021-02-20,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,11225.623529411798,0.00412816057381326,46.34117647058823,Dallas,2021-02-21,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,11201.37254901964,0.9999282300838482,11200.568627451012,Dallas,2021-02-18,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,11225.623529411798,0.0016593689367532351,18.627450980392155,Dallas,2021-02-19,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,11225.623529411798,0.0011580648474393631,13.0,Dallas,2021-02-20,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,11225.623529411798,0.00412816057381326,46.34117647058823,Dallas,2021-02-21,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
