NAME,total_pop,median_income,ZCTA5CE20
ZCTA5 01915,41611,98474.0,01915
ZCTA5 01921,8234,203750.0,01921
ZCTA5 01922,3827,197583.0,01922
ZCTA5 01923,27734,116636.0,01923
ZCTA5 01929,3648,133026.0,01929
ZCTA5 01930,29830,84465.0,01930
ZCTA5 01937,176,,01937
ZCTA5 01938,13791,123266.0,01938
ZCTA5 01940,13072,157955.0,01940
ZCTA5 01944,5386,209052.0,01944
ZCTA5 01945,20373,163561.0,01945
ZCTA5 01949,9668,168245.0,01949
ZCTA5 01950,18356,127306.0,01950
ZCTA5 01951,2896,163077.0,01951
ZCTA5 01952,9182,97237.0,01952
ZCTA5 01960,54057,91032.0,01960
ZCTA5 01965,803,241003.0,01965
ZCTA5 01966,6973,95091.0,01966
ZCTA5 01969,6175,135396.0,01969
ZCTA5 01970,44435,79267.0,01970
ZCTA5 01982,7612,139250.0,01982
ZCTA5 01983,6532,162734.0,01983
ZCTA5 01984,4933,181982.0,01984
ZCTA5 01985,4521,181125.0,01985
ZCTA5 02019,17025,116152.0,02019
ZCTA5 02021,24293,130134.0,02021
ZCTA5 02025,8330,178013.0,02025
ZCTA5 02026,25150,118877.0,02026
ZCTA5 02030,5886,250001.0,02030
ZCTA5 02032,4847,170174.0,02032
ZCTA5 02035,18476,104350.0,02035
ZCTA5 02038,32777,138062.0,02038
ZCTA5 02043,24143,170326.0,02043
ZCTA5 02045,10116,128022.0,02045
ZCTA5 02047,218,,02047
ZCTA5 02048,23831,125506.0,02048
ZCTA5 02050,25915,118633.0,02050
ZCTA5 02052,12844,215099.0,02052
ZCTA5 02053,13164,165614.0,02053
ZCTA5 02054,8565,140816.0,02054
ZCTA5 02056,11527,182716.0,02056
ZCTA5 02061,11281,179777.0,02061
ZCTA5 02062,31343,98653.0,02062
ZCTA5 02066,18718,127255.0,02066
ZCTA5 02067,18473,181545.0,02067
ZCTA5 02071,1480,200496.0,02071
ZCTA5 02072,29051,98145.0,02072
ZCTA5 02081,19990,141599.0,02081
ZCTA5 02090,16149,192887.0,02090
ZCTA5 02093,12173,151833.0,02093
ZCTA5 02108,4218,170379.0,02108
ZCTA5 02109,3559,162179.0,02109
ZCTA5 02110,2337,126157.0,02110
ZCTA5 02111,8417,72321.0,02111
ZCTA5 02113,6688,106625.0,02113
ZCTA5 02114,13356,121418.0,02114
ZCTA5 02115,27838,51454.0,02115
ZCTA5 02116,22286,131648.0,02116
ZCTA5 02118,28392,74155.0,02118
ZCTA5 02119,26821,37158.0,02119
ZCTA5 02120,14364,51698.0,02120
ZCTA5 02121,29820,42411.0,02121
ZCTA5 02122,24705,81025.0,02122
ZCTA5 02124,55336,72189.0,02124
ZCTA5 02125,31903,64983.0,02125
ZCTA5 02126,24994,66689.0,02126
ZCTA5 02127,36175,145357.0,02127
ZCTA5 02128,45357,84023.0,02128
ZCTA5 02129,19832,146815.0,02129
ZCTA5 02130,41479,114933.0,02130
ZCTA5 02131,31637,101566.0,02131
ZCTA5 02132,26488,132457.0,02132
ZCTA5 02133,0,,02133
ZCTA5 02134,17969,80027.0,02134
ZCTA5 02135,44480,87603.0,02135
ZCTA5 02136,39498,91579.0,02136
ZCTA5 02138,38006,118320.0,02138
ZCTA5 02139,39856,117124.0,02139
ZCTA5 02140,21553,137792.0,02140
ZCTA5 02141,14402,103451.0,02141
ZCTA5 02142,4474,150294.0,02142
ZCTA5 02143,25329,118440.0,02143
ZCTA5 02144,25022,133627.0,02144
ZCTA5 02145,27692,113469.0,02145
ZCTA5 02148,65463,90295.0,02148
ZCTA5 02149,48685,77796.0,02149
ZCTA5 02150,39875,70968.0,02150
ZCTA5 02151,60592,78882.0,02151
ZCTA5 02152,19031,98901.0,02152
ZCTA5 02155,63873,115048.0,02155
ZCTA5 02163,1994,67969.0,02163
ZCTA5 02169,60938,86335.0,02169
ZCTA5 02170,19928,97362.0,02170
ZCTA5 02171,19882,101013.0,02171
ZCTA5 02176,29477,126305.0,02176
ZCTA5 02180,22992,112935.0,02180
ZCTA5 02184,38748,120593.0,02184
ZCTA5 02186,28683,170144.0,02186
ZCTA5 02188,15313,100650.0,02188
ZCTA5 02189,15567,87314.0,02189
ZCTA5 02190,18516,95891.0,02190
ZCTA5 02191,7904,106596.0,02191
ZCTA5 02199,1221,111786.0,02199
ZCTA5 02203,0,,02203
ZCTA5 02205,0,,02205
ZCTA5 02210,5706,179643.0,02210
ZCTA5 02215,24522,64138.0,02215
ZCTA5 02301,69225,70837.0,02301
ZCTA5 02302,35488,80702.0,02302
ZCTA5 02322,4730,125000.0,02322
ZCTA5 02324,25819,110625.0,02324
ZCTA5 02325,2712,22500.0,02325
ZCTA5 02330,11641,69629.0,02330
ZCTA5 02332,16041,148505.0,02332
ZCTA5 02333,14382,122693.0,02333
ZCTA5 02338,7728,110763.0,02338
ZCTA5 02339,14773,163613.0,02339
ZCTA5 02341,10513,117708.0,02341
ZCTA5 02343,11282,96741.0,02343
ZCTA5 02346,24268,89290.0,02346
ZCTA5 02347,11625,119712.0,02347
ZCTA5 02350,106,82344.0,02350
ZCTA5 02351,17003,120535.0,02351
ZCTA5 02356,12201,116875.0,02356
ZCTA5 02357,1319,,02357
ZCTA5 02359,18330,140052.0,02359
ZCTA5 02360,61412,107067.0,02360
ZCTA5 02364,13702,111490.0,02364
ZCTA5 02366,216,,02366
ZCTA5 02367,2923,108958.0,02367
ZCTA5 02368,34747,95207.0,02368
ZCTA5 02370,17721,98295.0,02370
ZCTA5 02375,11501,117695.0,02375
ZCTA5 02379,7648,120414.0,02379
ZCTA5 02382,15146,101088.0,02382
ZCTA5 02420,16356,221458.0,02420
ZCTA5 02421,17865,200294.0,02421
ZCTA5 02445,22124,132970.0,02445
ZCTA5 02446,31517,116644.0,02446
ZCTA5 02451,18379,117932.0,02451
ZCTA5 02452,15830,106674.0,02452
ZCTA5 02453,30365,111294.0,02453
ZCTA5 02457,1758,,02457
ZCTA5 02458,12706,133936.0,02458
ZCTA5 02459,19182,210785.0,02459
ZCTA5 02460,9888,149000.0,02460
ZCTA5 02461,7049,191711.0,02461
ZCTA5 02462,1438,136375.0,02462
ZCTA5 02464,3440,126346.0,02464
ZCTA5 02465,11823,178333.0,02465
ZCTA5 02466,8859,144934.0,02466
ZCTA5 02467,21709,171250.0,02467
ZCTA5 02468,5589,250001.0,02468
ZCTA5 02472,35300,117584.0,02472
ZCTA5 02474,28167,134169.0,02474
ZCTA5 02476,17739,138959.0,02476
ZCTA5 02478,26964,164720.0,02478
ZCTA5 02481,17100,250001.0,02481
ZCTA5 02482,11004,230625.0,02482
ZCTA5 02492,21192,207844.0,02492
ZCTA5 02493,11759,250001.0,02493
ZCTA5 02494,10765,203690.0,02494
ZCTA5 02532,13092,82782.0,02532
ZCTA5 02534,1460,163053.0,02534
ZCTA5 02535,2269,135750.0,02535
ZCTA5 02536,20909,89132.0,02536
ZCTA5 02537,6408,126763.0,02537
ZCTA5 02538,4494,103198.0,02538
ZCTA5 02539,5159,79127.0,02539
ZCTA5 02540,8615,85117.0,02540
ZCTA5 02542,766,49250.0,02542
ZCTA5 02543,801,83629.0,02543
ZCTA5 02553,76,,02553
ZCTA5 02554,13861,136887.0,02554
ZCTA5 02556,2375,129787.0,02556
ZCTA5 02557,1924,92022.0,02557
ZCTA5 02558,1820,72586.0,02558
ZCTA5 02559,3205,93116.0,02559
ZCTA5 02561,481,88060.0,02561
ZCTA5 02562,3485,114770.0,02562
ZCTA5 02563,10168,118550.0,02563
ZCTA5 02564,180,,02564
ZCTA5 02568,8547,77078.0,02568
ZCTA5 02571,10530,82591.0,02571
ZCTA5 02575,2606,124622.0,02575
ZCTA5 02576,4406,59978.0,02576
ZCTA5 02584,24,,02584
ZCTA5 02601,17178,63432.0,02601
ZCTA5 02630,1922,135735.0,02630
ZCTA5 02631,10176,96133.0,02631
ZCTA5 02632,11929,114936.0,02632
ZCTA5 02633,4667,91974.0,02633
ZCTA5 02635,3007,94844.0,02635
ZCTA5 02637,323,207878.0,02637
ZCTA5 02638,3146,105639.0,02638
ZCTA5 02639,3308,57679.0,02639
ZCTA5 02641,319,,02641
ZCTA5 02642,5724,80167.0,02642
ZCTA5 02643,0,,02643
ZCTA5 02644,3838,119779.0,02644
ZCTA5 02645,10930,84693.0,02645
ZCTA5 02646,1950,70980.0,02646
ZCTA5 02647,159,,02647
ZCTA5 02648,7774,130177.0,02648
ZCTA5 02649,15144,90465.0,02649
ZCTA5 02650,1024,61276.0,02650
ZCTA5 02652,996,,02652
ZCTA5 02653,6322,89375.0,02653
ZCTA5 02655,3441,95563.0,02655
ZCTA5 02657,3630,91447.0,02657
ZCTA5 02659,916,72969.0,02659
ZCTA5 02660,6604,85963.0,02660
ZCTA5 02663,462,,02663
ZCTA5 02664,9282,76448.0,02664
ZCTA5 02666,631,89333.0,02666
ZCTA5 02667,3890,97438.0,02667
ZCTA5 02668,2465,108651.0,02668
ZCTA5 02670,1340,81250.0,02670
ZCTA5 02671,750,97865.0,02671
ZCTA5 02672,28,,02672
ZCTA5 02673,9246,69167.0,02673
ZCTA5 02675,7185,104741.0,02675
ZCTA5 02702,4416,121060.0,02702
ZCTA5 02703,46356,91458.0,02703
ZCTA5 02713,32,73125.0,02713
ZCTA5 02715,3620,114899.0,02715
ZCTA5 02717,4783,134948.0,02717
ZCTA5 02718,7213,98848.0,02718
ZCTA5 02719,15899,86676.0,02719
ZCTA5 02720,30558,60076.0,02720
ZCTA5 02721,26807,51958.0,02721
ZCTA5 02723,17164,43579.0,02723
ZCTA5 02724,18445,46120.0,02724
ZCTA5 02725,2359,129235.0,02725
ZCTA5 02726,15907,103508.0,02726
ZCTA5 02738,5305,111351.0,02738
ZCTA5 02739,6511,110179.0,02739
ZCTA5 02740,46623,51599.0,02740
ZCTA5 02743,10466,88273.0,02743
ZCTA5 02744,12465,52290.0,02744
ZCTA5 02745,25084,70338.0,02745
ZCTA5 02746,16286,39545.0,02746
ZCTA5 02747,21383,94831.0,02747
ZCTA5 02748,11431,105108.0,02748
ZCTA5 02760,29149,104360.0,02760
ZCTA5 02762,9814,99720.0,02762
ZCTA5 02763,1601,106667.0,02763
ZCTA5 02764,4463,119545.0,02764
ZCTA5 02766,19177,112284.0,02766
ZCTA5 02767,15432,110573.0,02767
ZCTA5 02769,12614,124306.0,02769
ZCTA5 02770,5564,114313.0,02770
ZCTA5 02771,15475,108479.0,02771
ZCTA5 02777,17158,110975.0,02777
ZCTA5 02779,6768,140000.0,02779
ZCTA5 02780,51915,68948.0,02780
ZCTA5 02790,16431,90691.0,02790
ZCTA5 02791,371,99490.0,02791
ZCTA5 02802,702,113056.0,02802
ZCTA5 02804,2560,101211.0,02804
