osm_id,name,type,lat,lon
1238103552,CII Carbon LLC Oil Plant,plant,29.9348957,-89.976945
1245412482,Oschner Kidney Care,clinic,29.9615367,-90.1553341
1256943158,unnamed,substation,29.9476203,-89.9304503
1295022706,unnamed,substation,29.9252928,-90.033642
1359315209,LaDOTD,government,29.9227011,-90.1696297
1442707407,unnamed,police,29.9620325,-90.0004791
1442707415,unnamed,fire_station,29.9583383,-89.9905323
1443037109,unnamed,plant,29.9241635,-90.1622521
1443337704,New Orleans Fire Department Engine 21,fire_station,29.9979064,-90.0740624
1443522577,New Orleans Fire Department Engine 13 and Ladder 12,fire_station,30.0192073,-90.0990329
1443553299,New Orleans Fire Department Engine 6 and Ladder 3,fire_station,30.0034899,-90.0359831
